provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
ESMERALDAS,QUININDE,LA UNION,34161.0,657.3,52.0
ESMERALDAS,SAN LORENZO,SAN LORENZO,32591.0,248.26,131.0
ESMERALDAS,SAN LORENZO,ALTO TAMBO,1867.0,1136.26,2.0
ESMERALDAS,SAN LORENZO,ANCON,1415.0,59.33,24.0
ESMERALDAS,SAN LORENZO,CALDERON,1176.0,31.98,37.0
ESMERALDAS,SAN LORENZO,CARONDELET,1117.0,69.12,16.0
ESMERALDAS,SAN LORENZO,5 DE JUNIO,247.0,218.47,1.0
ESMERALDAS,SAN LORENZO,CONCEPCION,1980.0,218.72,9.0
ESMERALDAS,SAN LORENZO,MATAJE,1053.0,311.21,3.0
ESMERALDAS,SAN LORENZO,SAN JAVIER DE CACHAVI,786.0,45.75,17.0
ESMERALDAS,SAN LORENZO,SANTA RITA,1638.0,81.14,20.0
ESMERALDAS,SAN LORENZO,TAMBILLO,1369.0,227.15,6.0
ESMERALDAS,SAN LORENZO,TULULBI,2641.0,350.46,8.0
